route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed,safe_duration_factor,safe_duration_offset
Express,523:20260831,523:20260831,San Francisco,523,0,,,1,1,,,
Local Weekday,153:20260831,153:20260831,San Francisco,153,0,,,1,1,,,
Local Weekend,634:20260831,634:20260831,Tamien,634,1,,,1,1,,,
Local Weekday,157:20260831,157:20260831,San Francisco,157,0,,,1,1,,,
Local Weekday,M136:20260831,M136:20260831,Tamien,M136,1,,,1,1,,,
Local Weekday,120:20260831,120:20260831,Tamien,120,1,,,1,1,,,
Local Weekday,M127:20260831,M127:20260831,San Francisco,M127,0,,,1,1,,,
Local Weekend,656:20260831,656:20260831,San Jose Diridon,656,1,,,1,1,,,
Local Weekday,102:20260831,102:20260831,San Jose Diridon,102,1,,,1,1,,,
Local Weekday,110:20260831,110:20260831,San Jose Diridon,110,1,,,1,1,,,
Local Weekday,159:20260831,159:20260831,San Francisco,159,0,,,1,1,,,
Local Weekday,M108:20260831,M108:20260831,Tamien,M108,1,,,1,1,,,
